股票代號,季度名稱,單季 EPS (元),單季營收 (億元)
1258,2023 Q1,1.46,7.34
1259,2023 Q1,1.04,14.34
1259,2023 Q2,1.7,14.98
1259,2023 Q3,1.83,15.96
1259,2023 Q4,0.59,14.66
1259,2024 Q1,1.01,14.87
1259,2024 Q2,1.07,15.22
1259,2024 Q3,0.13,15.62
1259,2024 Q4,-0.17,14.74
1259,2025 Q1,0.27,14.7
1259,2025 Q2,0.66,15.29
1259,2025 Q3,0.1,15.35
1259,2025 Q4,1.42,15.29
1259,2026 Q1,0.06,15.22
1268,2023 Q1,3.01,12.96
1268,2023 Q2,1.79,11.14
1268,2023 Q3,2.01,12.0
1268,2023 Q4,0.81,13.09
1268,2024 Q1,4.73,16.79
1268,2024 Q2,1.54,13.16
1268,2024 Q3,1.47,14.31
1268,2024 Q4,2.31,15.04
1268,2025 Q1,4.39,17.35
1268,2025 Q2,1.76,14.15
1268,2025 Q3,1.55,14.67
1268,2025 Q4,2.42,16.1
1268,2026 Q1,5.87,19.88
1294,2023 Q2,2.65,2.47
1294,2023 Q4,7.66,3.78
1294,2024 Q1,1.84,1.8
1294,2024 Q2,1.83,2.17
1294,2024 Q3,1.69,1.98
1294,2024 Q4,1.08,1.53
1294,2025 Q1,1.17,1.75
1294,2025 Q2,1.27,1.94
1294,2025 Q3,1.0,1.96
1294,2025 Q4,1.23,2.14
1294,2026 Q1,1.41,2.28
1295,2023 Q2,2.01,3.89
1295,2023 Q4,3.68,4.34
1295,2024 Q2,2.98,4.7
1295,2024 Q3,1.81,2.73
1295,2024 Q4,0.7,2.46
1295,2025 Q1,1.26,2.34
1295,2025 Q2,1.92,3.09
1295,2025 Q3,0.92,2.11
1295,2025 Q4,1.22,2.85
1295,2026 Q1,0.39,2.15
1432,2023 Q1,0.17,3.11
1432,2023 Q2,0.11,3.24
1432,2023 Q3,0.48,3.8
1432,2023 Q4,-0.09,3.1
1432,2024 Q1,0.0,3.26
1432,2024 Q2,-0.11,3.18
1432,2024 Q3,-0.07,3.34
1432,2024 Q4,-0.28,3.01
1432,2025 Q1,0.05,3.42
1432,2025 Q2,-0.23,3.33
1432,2025 Q3,-0.18,3.52
1432,2025 Q4,6.39,3.12
1432,2026 Q1,-0.54,1.98
1439,2023 Q1,0.54,0.9
1439,2023 Q2,0.56,0.21
1439,2023 Q3,0.27,0.37
1439,2023 Q4,0.63,0.52
1439,2024 Q1,0.54,0.33
1439,2024 Q2,0.13,0.31
1439,2024 Q3,0.38,0.14
1439,2024 Q4,0.69,0.2
1439,2025 Q1,0.73,1.36
1439,2025 Q2,0.49,0.97
1439,2025 Q3,0.87,2.83
1439,2025 Q4,1.12,2.97
1439,2026 Q1,0.59,0.76
1443,2023 Q1,0.25,1.66
1443,2023 Q2,0.19,1.81
1443,2023 Q3,0.82,2.24
1443,2023 Q4,0.03,2.1
1443,2024 Q1,0.72,2.14
1443,2024 Q2,0.41,2.17
1443,2024 Q3,0.42,2.41
1443,2024 Q4,0.25,2.53
1443,2025 Q1,0.55,2.55
1443,2025 Q2,-0.48,2.52
1443,2025 Q3,0.46,2.45
1443,2025 Q4,0.61,2.29
1443,2026 Q1,0.52,2.25
1453,2023 Q1,0.0,0.0
1453,2023 Q2,0.12,0.0
1453,2023 Q3,-0.08,0.0
1453,2023 Q4,0.53,2.03
1453,2024 Q1,0.15,0.0
1453,2024 Q2,0.12,0.0
1453,2024 Q3,-0.15,0.0
1453,2024 Q4,-0.1,0.0
1453,2025 Q1,-0.12,0.0
1453,2025 Q2,0.01,0.0
1453,2025 Q3,0.15,0.0
1453,2025 Q4,-0.01,0.0
1453,2026 Q1,-0.05,0.0
1456,2023 Q1,-0.63,1.26
1456,2023 Q2,1.31,9.23
1456,2023 Q3,-0.12,4.0
1456,2023 Q4,-0.51,2.36
1456,2024 Q1,-0.46,2.8
1456,2024 Q2,-0.44,2.58
1456,2024 Q3,-0.16,3.05
1456,2024 Q4,2.18,1.99
1456,2025 Q1,-0.48,1.64
1456,2025 Q2,-0.08,2.96
1456,2025 Q3,-0.34,1.61
1456,2025 Q4,4.31,2.07
1456,2026 Q1,-0.43,2.19
1472,2023 Q1,0.36,2.57
1472,2023 Q2,0.85,5.37
1472,2023 Q3,1.55,5.43
1472,2023 Q4,1.2,6.1
1472,2024 Q1,1.13,5.73
1472,2024 Q2,0.26,5.37
1472,2024 Q3,0.51,5.47
1472,2024 Q4,1.43,6.78
1472,2025 Q1,1.76,9.11
1472,2025 Q2,1.72,8.93
1472,2025 Q3,1.62,9.24
1472,2025 Q4,1.3,9.15
1472,2026 Q1,1.78,9.14
1563,2023 Q2,1.45,37.15
1563,2023 Q3,0.71,18.59
1563,2023 Q4,0.73,22.06
1563,2024 Q1,1.17,19.54
1563,2024 Q2,0.72,18.73
1563,2024 Q3,0.79,17.18
1563,2024 Q4,0.64,19.28
1563,2025 Q1,1.53,19.18
1563,2025 Q2,-0.29,17.15
1563,2025 Q3,0.19,17.02
1563,2025 Q4,-0.05,16.43
1563,2026 Q1,0.6,18.72
1585,2023 Q2,-0.82,0.44
1585,2023 Q4,-2.68,0.68
1585,2024 Q2,-0.41,0.64
1585,2024 Q4,-2.46,0.56
1585,2025 Q2,-0.74,0.67
1585,2025 Q4,-2.4,0.75
1589,2023 Q1,0.62,22.18
1589,2023 Q2,0.73,23.42
1589,2023 Q3,-1.85,19.39
1589,2023 Q4,-1.75,21.72
1589,2024 Q1,-4.62,14.2
1589,2024 Q2,-3.33,17.39
1589,2024 Q3,2.82,18.47
1589,2024 Q4,-0.04,21.96
1589,2025 Q1,-1.87,16.67
1589,2025 Q2,-0.85,20.83
1589,2025 Q3,-2.34,20.95
1593,2023 Q1,0.26,2.38
1593,2023 Q2,0.6,2.77
1593,2023 Q3,0.22,2.68
1593,2023 Q4,0.21,2.83
1593,2024 Q1,0.0,2.43
1593,2024 Q2,0.43,2.63
1593,2024 Q3,0.58,2.9
1593,2024 Q4,0.69,3.23
1593,2025 Q1,0.42,2.76
1593,2025 Q2,0.44,3.07
